"","club","value_eur","Year"
"1","FC Barcelona",111000000,"FIFA 16"
"2","Real Madrid",85500000,"FIFA 16"
"3","FC Bayern München",56000000,"FIFA 16"
"4","FC Bayern München",58000000,"FIFA 16"
"5","FC Barcelona",69000000,"FIFA 16"
"6","Chelsea",74000000,"FIFA 16"
"7","Paris Saint-Germain",40500000,"FIFA 16"
"8","FC Barcelona",71500000,"FIFA 16"
"9","Paris Saint-Germain",38000000,"FIFA 16"
"10","Manchester City",50500000,"FIFA 16"
"11","Real Madrid",62500000,"FIFA 16"
"12","Real Madrid",56000000,"FIFA 16"
"13","Real Madrid",54500000,"FIFA 16"
"14","FC Bayern München",45000000,"FIFA 16"
"15","FC Bayern München",55000000,"FIFA 16"
"16","Arsenal",52500000,"FIFA 16"
"17","FC Bayern München",29500000,"FIFA 16"
"18","Juventus",32500000,"FIFA 16"
"19","Manchester City",47500000,"FIFA 16"
"20","Real Madrid",34000000,"FIFA 16"
"21","FC Bayern München",34000000,"FIFA 16"
"22","Chelsea",43500000,"FIFA 16"
"23","Real Madrid",41500000,"FIFA 16"
"24","Juventus",53000000,"FIFA 16"
"25","Chelsea",44000000,"FIFA 16"
"26","Manchester United",42500000,"FIFA 16"
"27","Real Madrid",46500000,"FIFA 16"
"28","Borussia Dortmund",39000000,"FIFA 16"
"29","Arsenal",47000000,"FIFA 16"
"30","Borussia Dortmund",45500000,"FIFA 16"
"31","FC Barcelona",39000000,"FIFA 16"
"32","FC Bayern München",47500000,"FIFA 16"
"33","Chelsea",46500000,"FIFA 16"
"34","Manchester United",38500000,"FIFA 16"
"35","Manchester United",35000000,"FIFA 16"
"36","Boca Juniors",34500000,"FIFA 16"
"37","FC Bayern München",37500000,"FIFA 16"
"38","FC Bayern München",35500000,"FIFA 16"
"39","FC Barcelona",29500000,"FIFA 16"
"40","Chelsea",10500000,"FIFA 16"
"41","Manchester City",25000000,"FIFA 16"
"42","Arsenal",24000000,"FIFA 16"
"43","Arsenal",31000000,"FIFA 16"
"44","Tottenham Hotspur",29000000,"FIFA 16"
"45","VfL Wolfsburg",19500000,"FIFA 16"
"46","Paris Saint-Germain",33500000,"FIFA 16"
"47","Atlético Madrid",25000000,"FIFA 16"
"48","Paris Saint-Germain",34000000,"FIFA 16"
"49","Real Madrid",39000000,"FIFA 16"
"50","Chelsea",38000000,"FIFA 16"
"51","Liverpool",38000000,"FIFA 16"
"52","FC Barcelona",30000000,"FIFA 16"
"53","FC Bayern München",38000000,"FIFA 16"
"54","Bayer 04 Leverkusen",32500000,"FIFA 16"
"55","Olympique Lyonnais",39000000,"FIFA 16"
"56","Paris Saint-Germain",34500000,"FIFA 16"
"57","Chelsea",29500000,"FIFA 16"
"58","Napoli",34500000,"FIFA 16"
"59","Roma",34000000,"FIFA 16"
"60","FC Barcelona",31500000,"FIFA 16"
"61","Paris Saint-Germain",25500000,"FIFA 16"
"62","FC Bayern München",27500000,"FIFA 16"
"63","Juventus",9000000,"FIFA 16"
"64","FC Porto",19000000,"FIFA 16"
"65","New York City FC",2400000,"FIFA 16"
"66","Fenerbahçe SK",25500000,"FIFA 16"
"67","LA Galaxy",10000000,"FIFA 16"
"68","FC Bayern München",13000000,"FIFA 16"
"69","Real Madrid",17000000,"FIFA 16"
"70","Galatasaray SK",24500000,"FIFA 16"
"71","FC Barcelona",16000000,"FIFA 16"
"72","Inter",21000000,"FIFA 16"
"73","Juventus",26500000,"FIFA 16"
"74","FC Bayern München",23000000,"FIFA 16"
"75","Manchester United",28500000,"FIFA 16"
"76","Zenit St. Petersburg",28500000,"FIFA 16"
"77","Manchester City",24000000,"FIFA 16"
"78","Atlético Madrid",29500000,"FIFA 16"
"79","Atlético Madrid",33000000,"FIFA 16"
"80","FC Bayern München",30000000,"FIFA 16"
"81","Tottenham Hotspur",31000000,"FIFA 16"
"82","VfL Wolfsburg",25500000,"FIFA 16"
"83","Atlético Madrid",31000000,"FIFA 16"
"84","Athletic Club de Bilbao",26000000,"FIFA 16"
"85","Liverpool",29500000,"FIFA 16"
"86","Real Madrid",22500000,"FIFA 16"
"87","Roma",26500000,"FIFA 16"
"88","Bayer 04 Leverkusen",27500000,"FIFA 16"
"89","FC Barcelona",25000000,"FIFA 16"
"90","AS Saint-Étienne",22500000,"FIFA 16"
"91","Zenit St. Petersburg",21000000,"FIFA 16"
"92","Napoli",26500000,"FIFA 16"
"93","Borussia Dortmund",21500000,"FIFA 16"
"94","FC Schalke 04",21500000,"FIFA 16"
"95","Paris Saint-Germain",21000000,"FIFA 16"
"96","SL Benfica",25500000,"FIFA 16"
"97","Roma",15000000,"FIFA 16"
"98","Arsenal",17000000,"FIFA 16"
"99","FC Barcelona",15000000,"FIFA 16"
"100","Inter",10500000,"FIFA 16"
"101","AS Monaco",23000000,"FIFA 16"
"102","Inter",19000000,"FIFA 16"
"103","Everton",16500000,"FIFA 16"
"104","Olympique de Marseille",19000000,"FIFA 16"
"105","Chelsea",17500000,"FIFA 16"
"106","Arsenal",17500000,"FIFA 16"
"107","Manchester City",22500000,"FIFA 16"
"108","Valencia CF",19000000,"FIFA 16"
"109","Chelsea",23000000,"FIFA 16"
"110","Lazio",23000000,"FIFA 16"
"111","FC Barcelona",17500000,"FIFA 16"
"112","Juventus",18500000,"FIFA 16"
"113","Juventus",23000000,"FIFA 16"
"114","VfL Wolfsburg",19000000,"FIFA 16"
"115","Chelsea",24000000,"FIFA 16"
"116","Real Madrid",24500000,"FIFA 16"
"117","FC Barcelona",23500000,"FIFA 16"
"118","Manchester City",27000000,"FIFA 16"
"119","Valencia CF",23000000,"FIFA 16"
"120","Liverpool",27000000,"FIFA 16"
"121","Arsenal",26000000,"FIFA 16"
"122","Borussia Dortmund",26000000,"FIFA 16"
"123","Juventus",22000000,"FIFA 16"
"124","Roma",22500000,"FIFA 16"
"125","Sevilla FC",21500000,"FIFA 16"
"126","Sevilla FC",25500000,"FIFA 16"
"127","Liverpool",26500000,"FIFA 16"
"128","Real Sociedad",24500000,"FIFA 16"
"129","Manchester United",21000000,"FIFA 16"
"130","Shakhtar Donetsk",25000000,"FIFA 16"
"131","Paris Saint-Germain",21500000,"FIFA 16"
"132","Valencia CF",24000000,"FIFA 16"
"133","Olympique Lyonnais",20500000,"FIFA 16"
"134","Ajax",20500000,"FIFA 16"
"135","Paris Saint-Germain",26000000,"FIFA 16"
"136","Bayer 04 Leverkusen",20000000,"FIFA 16"
"137","Borussia Mönchengladbach",20000000,"FIFA 16"
"138","Chelsea",23500000,"FIFA 16"
"139","Chelsea",19500000,"FIFA 16"
"140","Borussia Dortmund",24500000,"FIFA 16"
"141","Torino",19000000,"FIFA 16"
"142","Fenerbahçe SK",21000000,"FIFA 16"
"143","PFC CSKA Moscow",22000000,"FIFA 16"
"144","Napoli",22000000,"FIFA 16"
"145","Borussia Dortmund",23500000,"FIFA 16"
"146","Zenit St. Petersburg",17000000,"FIFA 16"
"147","SL Benfica",11500000,"FIFA 16"
"148","Athletic Club de Bilbao",10500000,"FIFA 16"
"149","Manchester United",14500000,"FIFA 16"
"150","Juventus",12500000,"FIFA 16"
"151","AS Monaco",13000000,"FIFA 16"
"152","Manchester City",14000000,"FIFA 16"
"153","Milan",14500000,"FIFA 16"
"154","SL Benfica",6000000,"FIFA 16"
"155","FC Schalke 04",17500000,"FIFA 16"
"156","Lazio",15000000,"FIFA 16"
"157","AS Saint-Étienne",15000000,"FIFA 16"
"158","Fiorentina",18000000,"FIFA 16"
"159","Atlético Madrid",14500000,"FIFA 16"
"160","Paris Saint-Germain",17500000,"FIFA 16"
"161","Roma",16000000,"FIFA 16"
"162","Tottenham Hotspur",16000000,"FIFA 16"
"163","SL Benfica",17500000,"FIFA 16"
"164","Galatasaray SK",17000000,"FIFA 16"
"165","Juventus",20000000,"FIFA 16"
"166","RC Celta",20000000,"FIFA 16"
"167","Milan",20500000,"FIFA 16"
"168","Manchester United",25000000,"FIFA 16"
"169","Genoa",20500000,"FIFA 16"
"170","Juventus",24500000,"FIFA 16"
"171","Sporting CP",20500000,"FIFA 16"
"172","Villarreal CF",20000000,"FIFA 16"
"173","Paris Saint-Germain",20000000,"FIFA 16"
"174","Olympique de Marseille",18500000,"FIFA 16"
"175","Napoli",23000000,"FIFA 16"
"176","Olympique Lyonnais",19500000,"FIFA 16"
"177","Atlético Madrid",19500000,"FIFA 16"
"178","Fenerbahçe SK",18000000,"FIFA 16"
"179","Manchester United",17500000,"FIFA 16"
"180","Valencia CF",21500000,"FIFA 16"
"181","Liverpool",18500000,"FIFA 16"
"182","FC Bayern München",21500000,"FIFA 16"
"183","Borussia Mönchengladbach",21500000,"FIFA 16"
"184","Atlético Madrid",18500000,"FIFA 16"
"185","Real Madrid",18500000,"FIFA 16"
"186","Stoke City",21500000,"FIFA 16"
"187","Zenit St. Petersburg",20000000,"FIFA 16"
"188","Sporting CP",16500000,"FIFA 16"
"189","Sevilla FC",20000000,"FIFA 16"
"190","Tottenham Hotspur",17000000,"FIFA 16"
"191","Málaga CF",17500000,"FIFA 16"
"192","Arsenal",21000000,"FIFA 16"
"193","Manchester City",21000000,"FIFA 16"
"194","Manchester United",20500000,"FIFA 16"
"195","Borussia Mönchengladbach",21000000,"FIFA 16"
"196","Sevilla FC",20500000,"FIFA 16"
"197","Napoli",18000000,"FIFA 16"
"198","Arsenal",19500000,"FIFA 16"
"199","Borussia Dortmund",19500000,"FIFA 16"
"200","FC Schalke 04",16500000,"FIFA 16"
"201","Brazil",0,"FIFA 16"
"202","Inter",20500000,"FIFA 16"
"203","Bayer 04 Leverkusen",17000000,"FIFA 16"
"204","Sevilla FC",16000000,"FIFA 16"
"205","Athletic Club de Bilbao",16500000,"FIFA 16"
"206","Stade Rennais FC",15500000,"FIFA 16"
"207","Liverpool",16500000,"FIFA 16"
"208","Inter",15500000,"FIFA 16"
"209","Borussia Mönchengladbach",2900000,"FIFA 16"
"210","Atlético Madrid",8000000,"FIFA 16"
"211","Sampdoria",13000000,"FIFA 16"
